id,name,review_count,category_alias,rating,latitude,longitude,delivery,pickup,restaurant_reservation,price,city,zip_code,country,state,distance,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries
sDajjybHSYFw8gTVbknPGA,Jack Doyle's Bar & Restaurant,330,"tradamerican,pubs,irish",4.0,40.752132,-73.99185200000001,0,0,0,2,New York,10001,US,NY,366.7328727042001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
_nywvJGzmWJEH2FceAvRbQ,Purple Rice Korean Kitchen,194,korean,4.0,40.74964,-73.99466,1,1,0,2,New York,10001,US,NY,270.9721872921962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
DLsqhCGZmEo48zsgduCbpQ,Lombardi's pizza,141,pizza,4.0,40.74623,-73.9974,1,1,0,2,New York,10001,US,NY,627.8713155660822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
qYDoWRdntIApGW6fEUHWIQ,Biricchino,119,italian,3.5,40.748874396085704,-73.9954686909914,1,1,0,2,New York,10001,US,NY,331.6643360501771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
c6Z3BG-AqezllpewYXaCog,Kaptan's Deck,4,"bars,bbq",5.0,40.750534,-73.99675699999999,0,0,0,4,New York,10001,US,NY,149.6538230498848,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
MoyxzhaYIsJx-p9IuGGK4w,Stella 34 Trattoria,671,"italian,pizza,cocktailbars",3.5,40.750381554193794,-73.9883,0,0,0,2,New York,10001,US,NY,682.5844239952899,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
LuIV-RG5cJQ0c_mMbLEZYQ,Deweys Pub,166,gastropubs,3.5,40.748199,-73.99121,0,1,0,2,New York,10001,US,NY,579.4585947074833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
MIsxw3cb4ByYyH2G1KzrZQ,Steak 'N Lobster,116,"bars,seafood,steak",4.0,40.7472,-73.99097900000001,1,1,0,2,New York,10001,US,NY,674.2264426499796,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
KEBKGGGkDhnuYdKrjzZblw,Samwon Garden Korean BBQ,450,"korean,bbq",4.0,40.74811,-73.9872,1,0,1,3,New York,10001,US,NY,860.8184335193407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
5wjQmxHJChnb_diAYy3Wow,Nick + Stef's Steakhouse,218,steak,3.5,40.751516147448896,-73.99391864550779,0,0,0,3,New York,10001,US,NY,193.35087782723747,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
